-------------------------------------------------------
NAV_START | 73 | Sat Nov 30 20:25:20 EST 2019
CUR_LOC | 40.37485847 | -80.00847006 | 7.5m/s | 216.2099m | 72 | Sat Nov 30 20:27:22 EST 2019
CUR_LOC | 40.3749206 | -80.00853077 | 8.0m/s | 224.34755m | 72 | Sat Nov 30 20:27:24 EST 2019
CUR_LOC | 40.37497513 | -80.00857248 | 7.25m/s | 230.71437m | 72 | Sat Nov 30 20:27:25 EST 2019
CUR_LOC | 40.37501901 | -80.00859665 | 7.25m/s | 235.21771m | 72 | Sat Nov 30 20:27:26 EST 2019
CUR_LOC | 40.37506112 | -80.00865693 | 7.25m/s | 242.10762m | 72 | Sat Nov 30 20:27:27 EST 2019
CUR_LOC | 40.37510968 | -80.0086904 | 7.0m/s | 247.59505m | 72 | Sat Nov 30 20:27:28 EST 2019
CUR_LOC | 40.37514264 | -80.00873233 | 6.5m/s | 252.63869m | 72 | Sat Nov 30 20:27:28 EST 2019
CUR_LOC | 40.37518023 | -80.00875095 | 5.25m/s | 256.41998m | 72 | Sat Nov 30 20:27:29 EST 2019
CUR_LOC | 40.37523248 | -80.00880029 | 5.25m/s | 263.28146m | 72 | Sat Nov 30 20:27:30 EST 2019
CUR_LOC | 40.37523921 | -80.00874787 | 4.0m/s | 260.24713m | 72 | Sat Nov 30 20:27:32 EST 2019
CUR_LOC | 40.37518489 | -80.00861149 | 1.75m/s | 247.44519m | 72 | Sat Nov 30 20:27:33 EST 2019
CUR_LOC | 40.37518526 | -80.00857925 | 2.5m/s | 245.35515m | 72 | Sat Nov 30 20:27:34 EST 2019
CUR_LOC | 40.37521938 | -80.00863278 | 3.0m/s | 251.27295m | 72 | Sat Nov 30 20:27:35 EST 2019
CUR_LOC | 40.37520744 | -80.00863258 | 3.25m/s | 250.41681m | 72 | Sat Nov 30 20:27:35 EST 2019
CUR_LOC | 40.37518906 | -80.00862375 | 3.0m/s | 248.54497m | 72 | Sat Nov 30 20:27:36 EST 2019
CUR_LOC | 40.37516279 | -80.00858718 | 3.25m/s | 244.2952m | 72 | Sat Nov 30 20:27:38 EST 2019
CUR_LOC | 40.37508656 | -80.00852054 | 5.25m/s | 234.58713m | 72 | Sat Nov 30 20:27:39 EST 2019
CUR_LOC | 40.37505579 | -80.00845078 | 5.5m/s | 227.82246m | 72 | Sat Nov 30 20:27:40 EST 2019
CUR_LOC | 40.37503831 | -80.00842583 | 4.75m/s | 224.9558m | 72 | Sat Nov 30 20:27:41 EST 2019
CUR_LOC | 40.37500473 | -80.00838275 | 5.5m/s | 219.77222m | 72 | Sat Nov 30 20:27:42 EST 2019
CUR_LOC | 40.3749714 | -80.0083402 | 5.0m/s | 214.64314m | 72 | Sat Nov 30 20:27:42 EST 2019
CUR_LOC | 40.37494084 | -80.0083033 | 5.0m/s | 210.0837m | 72 | Sat Nov 30 20:27:43 EST 2019
CUR_LOC | 40.37491064 | -80.00825028 | 5.0m/s | 204.47087m | 72 | Sat Nov 30 20:27:44 EST 2019
CUR_LOC | 40.37484235 | -80.00817251 | 6.25m/s | 194.6072m | 72 | Sat Nov 30 20:27:46 EST 2019
CUR_LOC | 40.37480168 | -80.00812301 | 6.25m/s | 188.52686m | 72 | Sat Nov 30 20:27:47 EST 2019
CUR_LOC | 40.37450902 | -80.00753074 | 9.0m/s | 128.8851m | 72 | Sat Nov 30 20:27:53 EST 2019
CUR_LOC | 40.3744277 | -80.00742351 | 9.25m/s | 116.12991m | 72 | Sat Nov 30 20:27:54 EST 2019
CUR_LOC | 40.37434593 | -80.00733155 | 8.75m/s | 104.39074m | 72 | Sat Nov 30 20:27:55 EST 2019
CUR_LOC | 40.37427473 | -80.00724551 | 9.0m/s | 93.80775m | 72 | Sat Nov 30 20:27:56 EST 2019
CUR_LOC | 40.37422712 | -80.00715502 | 9.0m/s | 84.483864m | 72 | Sat Nov 30 20:27:57 EST 2019
CUR_LOC | 40.37418997 | -80.00708323 | 9.25m/s | 77.128456m | 72 | Sat Nov 30 20:27:58 EST 2019
LOCOFF|40.37418997|-80.00708323|72 | Sat Nov 30 20:27:58 EST 2019
GPS_NOT_OFF (NO_POWER_SAVED) | 8.90028|72 | Sat Nov 30 20:27:58 EST 2019
CUR_LOC | 40.37415768 | -80.00699623 | 9.0m/s | 499.65106m | 72 | Sat Nov 30 20:27:59 EST 2019
CUR_LOC | 40.37409008 | -80.00689456 | 9.25m/s | 501.30133m | 72 | Sat Nov 30 20:28:00 EST 2019
CUR_LOC | 40.37404164 | -80.00679778 | 9.25m/s | 501.593m | 72 | Sat Nov 30 20:28:00 EST 2019
CUR_LOC | 40.37399315 | -80.00673725 | 8.75m/s | 503.61945m | 72 | Sat Nov 30 20:28:01 EST 2019
CUR_LOC | 40.37396013 | -80.00667391 | 8.0m/s | 504.13306m | 72 | Sat Nov 30 20:28:02 EST 2019
CUR_LOC | 40.37392885 | -80.00662321 | 5.75m/s | 505.07626m | 72 | Sat Nov 30 20:28:03 EST 2019
CUR_LOC | 40.37389862 | -80.00657491 | 5.0m/s | 506.07162m | 72 | Sat Nov 30 20:28:04 EST 2019
CUR_LOC | 40.37386776 | -80.00653302 | 4.25m/s | 507.43472m | 72 | Sat Nov 30 20:28:06 EST 2019
CUR_LOC | 40.37384925 | -80.00650821 | 3.5m/s | 508.28592m | 72 | Sat Nov 30 20:28:07 EST 2019
CUR_LOC | 40.37385183 | -80.00651042 | 2.5m/s | 508.1176m | 72 | Sat Nov 30 20:28:08 EST 2019
CUR_LOC | 40.37383857 | -80.00649856 | 1.5m/s | 508.96497m | 72 | Sat Nov 30 20:28:09 EST 2019
CUR_LOC | 40.37384452 | -80.00649794 | 0.0m/s | 508.35324m | 72 | Sat Nov 30 20:28:10 EST 2019
CUR_LOC | 40.37384256 | -80.00649873 | 0.0m/s | 508.57745m | 72 | Sat Nov 30 20:28:11 EST 2019
CUR_LOC | 40.37383935 | -80.00649103 | 0.0m/s | 508.5961m | 72 | Sat Nov 30 20:28:11 EST 2019
CUR_LOC | 40.37384216 | -80.00649021 | 0.0m/s | 508.28662m | 72 | Sat Nov 30 20:28:13 EST 2019
CUR_LOC | 40.37383955 | -80.00648279 | 0.0m/s | 508.2577m | 72 | Sat Nov 30 20:28:14 EST 2019
CUR_LOC | 40.37383631 | -80.00647641 | 0.0m/s | 508.33212m | 72 | Sat Nov 30 20:28:15 EST 2019
CUR_LOC | 40.37383217 | -80.00646943 | 0.0m/s | 508.47345m | 72 | Sat Nov 30 20:28:16 EST 2019
CUR_LOC | 40.37382735 | -80.00646522 | 0.0m/s | 508.78937m | 72 | Sat Nov 30 20:28:17 EST 2019
CUR_LOC | 40.37382746 | -80.00646565 | 0.0m/s | 508.79495m | 72 | Sat Nov 30 20:28:18 EST 2019
CUR_LOC | 40.37382611 | -80.00646305 | 0.0m/s | 508.8291m | 72 | Sat Nov 30 20:28:18 EST 2019
CUR_LOC | 40.37382342 | -80.00645985 | 0.0m/s | 508.9733m | 72 | Sat Nov 30 20:28:19 EST 2019
CUR_LOC | 40.37382309 | -80.00646002 | 0.0m/s | 509.0125m | 72 | Sat Nov 30 20:28:21 EST 2019
CUR_LOC | 40.37382329 | -80.00646042 | 0.0m/s | 509.00797m | 72 | Sat Nov 30 20:28:21 EST 2019
CUR_LOC | 40.37382326 | -80.00646041 | 0.0m/s | 509.01056m | 72 | Sat Nov 30 20:28:22 EST 2019
CUR_LOC | 40.37382322 | -80.00646038 | 0.0m/s | 509.0134m | 72 | Sat Nov 30 20:28:24 EST 2019
CUR_LOC | 40.37382323 | -80.00646042 | 0.0m/s | 509.01392m | 72 | Sat Nov 30 20:28:25 EST 2019
CUR_LOC | 40.37382329 | -80.00646049 | 0.0m/s | 509.01065m | 72 | Sat Nov 30 20:28:25 EST 2019
CUR_LOC | 40.37382337 | -80.0064606 | 0.0m/s | 509.00693m | 72 | Sat Nov 30 20:28:26 EST 2019
CUR_LOC | 40.37382338 | -80.00646059 | 0.0m/s | 509.00555m | 72 | Sat Nov 30 20:28:28 EST 2019
CUR_LOC | 40.3738234 | -80.00646064 | 0.0m/s | 509.0055m | 72 | Sat Nov 30 20:28:28 EST 2019
CUR_LOC | 40.37382342 | -80.00646066 | 0.0m/s | 509.00427m | 72 | Sat Nov 30 20:28:29 EST 2019
CUR_LOC | 40.37382345 | -80.00646066 | 0.0m/s | 509.00128m | 72 | Sat Nov 30 20:28:30 EST 2019
CUR_LOC | 40.37382346 | -80.00646066 | 0.0m/s | 509.0003m | 72 | Sat Nov 30 20:28:32 EST 2019
CUR_LOC | 40.37382346 | -80.00646065 | 0.0m/s | 508.9999m | 72 | Sat Nov 30 20:28:32 EST 2019
CUR_LOC | 40.37382345 | -80.00646061 | 0.0m/s | 508.9994m | 72 | Sat Nov 30 20:28:33 EST 2019
CUR_LOC | 40.37382345 | -80.0064606 | 0.0m/s | 508.999m | 72 | Sat Nov 30 20:28:35 EST 2019
CUR_LOC | 40.37382343 | -80.00646056 | 0.0m/s | 508.99945m | 72 | Sat Nov 30 20:28:36 EST 2019
CUR_LOC | 40.37382327 | -80.00646014 | 0.0m/s | 508.99927m | 72 | Sat Nov 30 20:28:37 EST 2019
CUR_LOC | 40.37382316 | -80.00645997 | 0.0m/s | 509.00366m | 72 | Sat Nov 30 20:28:38 EST 2019
CUR_LOC | 40.37382315 | -80.00645996 | 0.0m/s | 509.00427m | 72 | Sat Nov 30 20:28:38 EST 2019
CUR_LOC | 40.37382312 | -80.00645997 | 0.0m/s | 509.00763m | 72 | Sat Nov 30 20:28:40 EST 2019
CUR_LOC | 40.37382344 | -80.00646066 | 0.0m/s | 509.0023m | 72 | Sat Nov 30 20:28:41 EST 2019
CUR_LOC | 40.37382365 | -80.00646109 | 0.0m/s | 508.99792m | 72 | Sat Nov 30 20:28:41 EST 2019
CUR_LOC | 40.3738237 | -80.00646119 | 0.0m/s | 508.9968m | 72 | Sat Nov 30 20:28:42 EST 2019
CUR_LOC | 40.37382376 | -80.00646134 | 0.0m/s | 508.99658m | 72 | Sat Nov 30 20:28:44 EST 2019
CUR_LOC | 40.37382401 | -80.00646182 | 0.0m/s | 508.99017m | 72 | Sat Nov 30 20:28:45 EST 2019
CUR_LOC | 40.3738241 | -80.00646196 | 0.0m/s | 508.9866m | 72 | Sat Nov 30 20:28:45 EST 2019
CUR_LOC | 40.37382424 | -80.00646222 | 0.0m/s | 508.98267m | 72 | Sat Nov 30 20:28:46 EST 2019
CUR_LOC | 40.37382439 | -80.00646251 | 0.0m/s | 508.9789m | 72 | Sat Nov 30 20:28:48 EST 2019
CUR_LOC | 40.37382451 | -80.00646271 | 0.0m/s | 508.97467m | 72 | Sat Nov 30 20:28:49 EST 2019
