-------------------------------------------------------
NAV_START | Fri Nov 22 12:21:51 EST 2019 | 12%
CUR_LOC | Fri Nov 22 12:39:00 EST 2019 | 6% | 40.43721317 | -79.96277837 | 0.0m/s | 5949.284m
CUR_LOC | Fri Nov 22 12:39:01 EST 2019 | 6% | 40.43721204 | -79.96277222 | 0.0m/s | 5948.9844m
CUR_LOC | Fri Nov 22 12:39:02 EST 2019 | 6% | 40.43721009 | -79.96276341 | 0.0m/s | 5948.5806m
CUR_LOC | Fri Nov 22 12:39:03 EST 2019 | 6% | 40.43720976 | -79.96275735 | 0.0m/s | 5948.2266m
CUR_LOC | Fri Nov 22 12:39:04 EST 2019 | 6% | 40.437211 | -79.96275573 | 0.0m/s | 5948.032m
CUR_LOC | Fri Nov 22 12:39:05 EST 2019 | 6% | 40.43721269 | -79.96275595 | 0.0m/s | 5947.919m
CUR_LOC | Fri Nov 22 12:39:06 EST 2019 | 6% | 40.43721444 | -79.96275702 | 0.0m/s | 5947.8545m
CUR_LOC | Fri Nov 22 12:39:07 EST 2019 | 6% | 40.43721594 | -79.96275822 | 0.0m/s | 5947.8164m
CUR_LOC | Fri Nov 22 12:39:08 EST 2019 | 6% | 40.43721428 | -79.96275149 | 0.0m/s | 5947.5205m
CUR_LOC | Fri Nov 22 12:39:09 EST 2019 | 6% | 40.4372135 | -79.96274746 | 0.0m/s | 5947.3276m
CUR_LOC | Fri Nov 22 12:39:10 EST 2019 | 6% | 40.43721307 | -79.96274477 | 0.0m/s | 5947.1914m
CUR_LOC | Fri Nov 22 12:39:11 EST 2019 | 6% | 40.43721297 | -79.96274314 | 0.0m/s | 5947.097m
CUR_LOC | Fri Nov 22 12:39:12 EST 2019 | 6% | 40.43721299 | -79.96274194 | 0.0m/s | 5947.0205m
CUR_LOC | Fri Nov 22 12:39:13 EST 2019 | 6% | 40.43721278 | -79.96274054 | 0.0m/s | 5946.949m
CUR_LOC | Fri Nov 22 12:39:14 EST 2019 | 6% | 40.43721255 | -79.96273921 | 0.0m/s | 5946.8833m
CUR_LOC | Fri Nov 22 12:39:15 EST 2019 | 6% | 40.43721253 | -79.96273844 | 0.0m/s | 5946.8364m
CUR_LOC | Fri Nov 22 12:39:16 EST 2019 | 6% | 40.43721241 | -79.96273764 | 0.0m/s | 5946.7954m
CUR_LOC | Fri Nov 22 12:39:17 EST 2019 | 6% | 40.43721253 | -79.96273735 | 0.0m/s | 5946.7686m
CUR_LOC | Fri Nov 22 12:39:18 EST 2019 | 6% | 40.43721244 | -79.96273682 | 0.0m/s | 5946.742m
CUR_LOC | Fri Nov 22 12:39:19 EST 2019 | 6% | 40.4372123 | -79.96273627 | 0.0m/s | 5946.7183m
CUR_LOC | Fri Nov 22 12:39:20 EST 2019 | 6% | 40.43721215 | -79.96273576 | 0.0m/s | 5946.6978m
CUR_LOC | Fri Nov 22 12:39:21 EST 2019 | 6% | 40.43721204 | -79.96273417 | 0.0m/s | 5946.6064m
CUR_LOC | Fri Nov 22 12:39:22 EST 2019 | 6% | 40.43721202 | -79.9627333 | 0.0m/s | 5946.5537m
CUR_LOC | Fri Nov 22 12:39:23 EST 2019 | 6% | 40.43721196 | -79.96273283 | 0.0m/s | 5946.529m
CUR_LOC | Fri Nov 22 12:39:24 EST 2019 | 6% | 40.43721193 | -79.96273253 | 0.0m/s | 5946.512m
CUR_LOC | Fri Nov 22 12:39:25 EST 2019 | 6% | 40.43721185 | -79.96273182 | 0.0m/s | 5946.474m
CUR_LOC | Fri Nov 22 12:39:26 EST 2019 | 6% | 40.43721155 | -79.96273092 | 0.0m/s | 5946.4404m
