-------------------------------------------------------
NAV_START | 38 | Sun Dec 01 15:57:44 EST 2019
CUR_LOC | 40.37518345 | -80.00839945 | 4.75m/s | 233.65697m | 38 | Sun Dec 01 16:00:00 EST 2019
CUR_LOC | 40.37509841 | -80.00836737 | 6.0m/s | 225.37903m | 38 | Sun Dec 01 16:00:01 EST 2019
CUR_LOC | 40.37506079 | -80.00830906 | 6.5m/s | 218.90063m | 38 | Sun Dec 01 16:00:02 EST 2019
CUR_LOC | 40.37501765 | -80.00824751 | 6.75m/s | 211.81438m | 38 | Sun Dec 01 16:00:03 EST 2019
CUR_LOC | 40.37493943 | -80.00820111 | 7.0m/s | 203.21213m | 38 | Sun Dec 01 16:00:04 EST 2019
CUR_LOC | 40.37486331 | -80.00808735 | 8.25m/s | 190.38179m | 38 | Sun Dec 01 16:00:05 EST 2019
CUR_LOC | 40.37480461 | -80.00802869 | 8.25m/s | 182.40752m | 37 | Sun Dec 01 16:00:06 EST 2019
CUR_LOC | 40.37474593 | -80.0079701 | 8.25m/s | 174.46057m | 37 | Sun Dec 01 16:00:07 EST 2019
CUR_LOC | 40.3746806 | -80.00790322 | 8.5m/s | 165.5304m | 37 | Sun Dec 01 16:00:08 EST 2019
CUR_LOC | 40.37460286 | -80.00782339 | 8.75m/s | 154.93024m | 37 | Sun Dec 01 16:00:09 EST 2019
CUR_LOC | 40.37456203 | -80.00776081 | 8.25m/s | 147.96387m | 37 | Sun Dec 01 16:00:10 EST 2019
CUR_LOC | 40.37446237 | -80.00770775 | 7.75m/s | 137.9465m | 37 | Sun Dec 01 16:00:11 EST 2019
CUR_LOC | 40.3744337 | -80.00763432 | 7.25m/s | 130.99132m | 37 | Sun Dec 01 16:00:12 EST 2019
CUR_LOC | 40.37440129 | -80.00755505 | 7.5m/s | 123.39773m | 37 | Sun Dec 01 16:00:13 EST 2019
CUR_LOC | 40.37442011 | -80.00728328 | 7.25m/s | 106.496376m | 37 | Sun Dec 01 16:00:14 EST 2019
CUR_LOC | 40.37442663 | -80.00722442 | 6.0m/s | 103.3467m | 37 | Sun Dec 01 16:00:15 EST 2019
CUR_LOC | 40.37439227 | -80.00721635 | 4.75m/s | 100.21813m | 37 | Sun Dec 01 16:00:17 EST 2019
CUR_LOC | 40.3744387 | -80.00684351 | 6.5m/s | 84.46354m | 37 | Sun Dec 01 16:00:18 EST 2019
CUR_LOC | 40.37445019 | -80.00698242 | 3.0m/s | 91.898m | 37 | Sun Dec 01 16:00:19 EST 2019
CUR_LOC | 40.37445691 | -80.00701348 | 1.5m/s | 94.05488m | 37 | Sun Dec 01 16:00:20 EST 2019
CUR_LOC | 40.37449269 | -80.00705996 | 0.0m/s | 99.601395m | 37 | Sun Dec 01 16:00:21 EST 2019
CUR_LOC | 40.3744932 | -80.007074 | 0.0m/s | 100.36952m | 37 | Sun Dec 01 16:00:22 EST 2019
CUR_LOC | 40.37449385 | -80.00707867 | 0.0m/s | 100.66903m | 37 | Sun Dec 01 16:00:23 EST 2019
CUR_LOC | 40.37449815 | -80.00707422 | 0.0m/s | 100.81695m | 37 | Sun Dec 01 16:00:24 EST 2019
CUR_LOC | 40.37450575 | -80.00707904 | 0.0m/s | 101.73613m | 37 | Sun Dec 01 16:00:25 EST 2019
CUR_LOC | 40.37450096 | -80.00707922 | 0.0m/s | 101.322876m | 37 | Sun Dec 01 16:00:26 EST 2019
CUR_LOC | 40.37450256 | -80.00708232 | 0.0m/s | 101.62414m | 37 | Sun Dec 01 16:00:27 EST 2019
CUR_LOC | 40.37450171 | -80.00707994 | 0.0m/s | 101.42617m | 37 | Sun Dec 01 16:00:28 EST 2019
CUR_LOC | 40.37450771 | -80.00708693 | 0.0m/s | 102.31614m | 37 | Sun Dec 01 16:00:29 EST 2019
CUR_LOC | 40.37450707 | -80.00708714 | 0.0m/s | 102.27066m | 37 | Sun Dec 01 16:00:30 EST 2019
CUR_LOC | 40.37444168 | -80.00721652 | 0.0m/s | 104.04607m | 37 | Sun Dec 01 16:00:31 EST 2019
CUR_LOC | 40.37441034 | -80.00727944 | 0.0m/s | 105.528595m | 37 | Sun Dec 01 16:00:32 EST 2019
CUR_LOC | 40.37440778 | -80.00728501 | 0.0m/s | 105.69315m | 37 | Sun Dec 01 16:00:33 EST 2019
CUR_LOC | 40.37440349 | -80.00729274 | 0.0m/s | 105.872055m | 37 | Sun Dec 01 16:00:34 EST 2019
CUR_LOC | 40.37440211 | -80.00729563 | 0.0m/s | 105.95674m | 37 | Sun Dec 01 16:00:35 EST 2019
CUR_LOC | 40.37440086 | -80.00729789 | 0.0m/s | 106.01107m | 37 | Sun Dec 01 16:00:36 EST 2019
CUR_LOC | 40.37439888 | -80.00730193 | 0.0m/s | 106.12783m | 37 | Sun Dec 01 16:00:37 EST 2019
CUR_LOC | 40.37439849 | -80.00730298 | 0.0m/s | 106.167404m | 37 | Sun Dec 01 16:00:38 EST 2019
